kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
K04239.01,FALSE POSITIVE,2.17815935,1.839,116.3,1.22,1398.42,1561.0,0.503,14.1,6258.0,4.413,1.098,14.975
K04307.01,CANDIDATE,160.850075,9.427,428.1,3.41,6.87,413.0,0.769,16.1,5999.0,4.168,1.507,14.218
K04308.01,FALSE POSITIVE,0.720460644,1.7846,2111.5,37.33,5954.82,2240.0,1.272,117.2,6304.0,4.435,1.058,14.828
K04309.01,FALSE POSITIVE,3.7948721,1.713,305.1,16.1,325.63,1083.0,1.168,11.3,5883.0,4.58,0.793,15.302
K00612.03,CONFIRMED,122.0804953,4.054,799.9,2.92,1.83,297.0,0.957,23.3,5132.0,4.571,0.77,14.157
K02563.02,CANDIDATE,6.2614227,4.779,51.4,0.81,407.58,1146.0,0.069,10.6,6384.0,4.361,1.121,13.973
K04374.01,CANDIDATE,3.70386741,1.41,125.7,0.86,247.2,1012.0,0.033,13.1,5496.0,4.592,0.776,14.108
K04375.01,FALSE POSITIVE,0.638437699,0.3028,286.8,2.48,2024.34,1709.0,0.904,25.8,5073.0,4.571,0.824,15.23
K04376.01,FALSE POSITIVE,1.8912851,6.182,1223.4,19.96,299.44,1061.0,1.216,25.7,4700.0,4.605,0.707,16.851
K04377.01,CANDIDATE,19.8751355,8.041,109.0,2.49,299.47,1061.0,0.919,15.2,6918.0,4.021,2.004,13.543
K04378.01,FALSE POSITIVE,343.42046,11.11,482.7,2.15,1.27,270.0,0.3519,10.0,6115.0,4.469,0.967,15.223
K07658.01,FALSE POSITIVE,3.47148164,4.679,122.7,0.85,209.73,970.0,0.719,9.5,5297.0,4.626,0.716,15.795
K04444.01,CONFIRMED,5.94373492,1.847,301.0,1.14,48.82,674.0,0.197,13.2,4391.0,4.598,0.682,15.583
K04445.01,FALSE POSITIVE,244.60373,10.87,769.8,2.1,0.72,235.0,0.2652,17.7,5166.0,4.593,0.771,15.319
K04446.01,CONFIRMED,85.7567919,5.695,159.1,2.99,18.44,528.0,0.713,16.9,5037.0,3.783,2.213,12.429
K04447.01,CONFIRMED,2.18660188,1.585,122.3,0.98,345.07,1099.0,0.828,14.2,4904.0,4.535,0.772,14.793
K03043.02,CANDIDATE,7.2929891,4.053,72.5,0.73,158.19,904.0,0.022,7.1,5959.0,4.549,0.856,14.829
K04240.01,FALSE POSITIVE,3.1339356,4.477,203.7,1.58,704.95,1315.0,0.768,21.4,6137.0,4.46,1.018,15.725
K04241.01,CONFIRMED,2.55315031,1.849,185.3,1.25,699.7,1312.0,0.32,15.4,5970.0,4.521,0.908,15.424
K02458.02,CONFIRMED,2.936587946,1.8952,279.6,1.77,473.18,1190.0,0.863,20.1,5455.0,4.421,0.909,15.404
K04242.01,CANDIDATE,145.786556,4.891,378.0,1.82,2.84,331.0,0.133,13.9,5578.0,4.44,0.95,14.41
K04243.01,FALSE POSITIVE,1.33254212,3.848,37.4,1.45,12477.61,2694.0,0.662,10.6,6613.0,3.87,2.237,13.0
K04310.01,CONFIRMED,10.7769944,2.616,185.6,1.15,75.83,752.0,0.069,11.3,5455.0,4.457,0.852,14.587
K07668.01,CANDIDATE,2.5093344,1.833,184.3,1.47,1143.04,1483.0,0.019,8.4,6278.0,4.425,1.081,15.588
K04311.01,FALSE POSITIVE,0.918921494,0.9425,321.0,1.49,1960.12,1697.0,0.011,23.7,5655.0,4.561,0.833,15.606
K04312.01,CONFIRMED,7.84931877,3.747,68.2,0.81,172.98,925.0,0.107,12.6,5678.0,4.365,0.99,13.858
K04313.01,FALSE POSITIVE,67.7125988,1.538,542.4,82.63,10.63,460.0,1.8756,13.4,6309.0,4.517,0.847,14.213
K04314.01,FALSE POSITIVE,12.4285576,13.98,620.1,2.22,47.26,669.0,0.892,13.2,5492.0,4.604,0.752,15.663
K04379.01,FALSE POSITIVE,1.275511306,1.889,69.3,0.84,2160.97,1739.0,0.011,10.3,5921.0,4.418,1.015,15.083
K04380.01,FALSE POSITIVE,5.78159956,2.222,72.8,1.7,1117.19,1475.0,0.66,16.4,6443.0,4.023,1.884,13.384
K04381.01,FALSE POSITIVE,8.4805019,8.345,164.9,1.26,87.82,781.0,0.972,11.0,5555.0,4.554,0.737,15.313
K02732.04,CANDIDATE,24.5607107,8.679,55.2,1.13,90.55,787.0,0.374,14.9,6170.0,4.192,1.499,12.805
K04382.01,CONFIRMED,2.94648935,3.155,57.0,0.89,1187.5,1497.0,0.01,12.7,6481.0,4.378,1.171,14.144
