kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag
K02864.01,FALSE POSITIVE,3.77881664,5.819,47.1,3.99,10473.57,2580.0,0.628,22.2,6115.0,3.267,5.544,12.923
K02865.01,CONFIRMED,1.311558909,1.919,141.3,1.15,1776.99,1655.0,0.218,17.2,5926.0,4.501,0.963,15.371
K02866.01,CONFIRMED,1.291233083,1.855,66.0,0.89,2993.7,1887.0,0.2,15.9,6384.0,4.419,1.086,14.135
K00273.01,CONFIRMED,10.573751447,1.7259,298.9,2.07,120.25,844.0,0.785,82.0,5720.0,4.4,1.08,11.457
K02961.01,CONFIRMED,3.7847507,2.924,33.5,0.7,699.15,1311.0,0.021,12.2,6017.0,4.326,1.206,12.581
K02962.01,CANDIDATE,2.17291055,2.139,76.4,0.93,1220.49,1507.0,0.362,13.6,6164.0,4.446,1.045,14.229
K02963.01,CONFIRMED,18.2206024,5.109,201.8,1.78,90.43,786.0,0.125,19.7,5951.0,4.283,1.262,14.544
K02963.02,CANDIDATE,7.35101287,2.757,115.9,1.42,303.08,1064.0,0.608,12.8,5951.0,4.283,1.262,14.544
K02964.01,CONFIRMED,47.4497134,10.675,206.4,1.61,21.82,551.0,0.016,16.9,6007.0,4.353,1.126,14.089
K02717.01,CONFIRMED,0.929906166,1.743,108.7,1.48,6514.57,2291.0,0.102,79.7,6039.0,4.169,1.413,12.41
K02718.01,FALSE POSITIVE,0.784513087,1.9206,316.6,131.4,3036857.56,10634.0,0.029,47.7,3853.0,0.892,78.869,13.819
K02719.01,CONFIRMED,4.11585514,1.4858,425.8,1.93,151.55,895.0,0.807,20.8,4827.0,4.508,0.823,15.141
K02720.01,CANDIDATE,6.57159435,3.1044,65.7,1.26,507.81,1211.0,0.751,30.7,6042.0,4.139,1.432,10.338
K02721.01,CONFIRMED,33.878639,6.194,700.1,3.52,24.0,564.0,0.923,27.9,5533.0,4.348,1.072,15.16
K02791.01,CONFIRMED,27.5722144,5.256,296.3,1.94,38.62,636.0,0.562,20.0,5912.0,4.397,1.09,14.718
K02792.01,CONFIRMED,2.12821621,3.146,25.9,0.7,1831.55,1668.0,0.098,22.1,5952.0,4.227,1.377,11.126
K02794.01,FALSE POSITIVE,0.703399912,0.823,531.4,2.15,3879.31,2013.0,0.393,32.0,5955.0,4.52,0.91,15.728
K02795.01,FALSE POSITIVE,2.5355023,7.189,354.6,2.7,1127.68,1477.0,0.965,37.6,6268.0,4.429,1.1,15.273
K02797.01,CANDIDATE,0.868122253,1.5471,231.3,1.65,4163.14,2047.0,0.006,23.2,6116.0,4.44,1.084,15.8
K02867.01,FALSE POSITIVE,1.332560553,3.315,31.7,0.4,574.99,1249.0,0.37,26.1,4947.0,4.621,0.714,12.912
K02867.02,FALSE POSITIVE,18.936061,22.27,24.3,0.34,16.7,516.0,0.285,14.0,4947.0,4.621,0.714,12.912
K02868.01,CONFIRMED,10.65275054,2.684,740.7,2.2,69.81,737.0,0.051,17.5,5602.0,4.571,0.817,15.97
K02869.01,CONFIRMED,3.30040818,4.462,98.8,1.43,1341.9,1543.0,0.008,19.3,6333.0,4.229,1.438,13.749
K02870.01,FALSE POSITIVE,5.62950902,6.542,297.5,2.11,216.41,979.0,0.974,14.3,5822.0,4.529,0.898,15.957
K02942.01,CANDIDATE,13.84301228,4.077,567.8,1.98,56.45,699.0,0.052,17.5,5745.0,4.559,0.837,15.48
K02942.02,CONFIRMED,24.2758992,4.59,702.2,2.25,26.68,580.0,0.441,17.0,5745.0,4.559,0.837,15.48
K02943.01,CONFIRMED,54.4099612,9.314,193.0,1.56,16.35,513.0,0.157,20.8,5746.0,4.309,1.133,13.852
K02944.01,FALSE POSITIVE,9.12209336,4.347,906.8,28.17,131.35,863.0,1.236,22.2,5899.0,4.499,0.96,15.676
K02945.01,CONFIRMED,19.94752741,1.756,861.3,2.52,36.14,625.0,0.094,16.0,5749.0,4.547,0.864,15.999
K00277.02,CONFIRMED,13.84984567,7.2783,84.6,1.45,214.98,977.0,0.012,35.2,5919.0,4.042,1.585,11.866
K02722.01,CONFIRMED,6.12479773,3.466,129.3,1.51,399.43,1140.0,0.79,20.1,6052.0,4.285,1.202,13.268
K02722.02,CONFIRMED,11.24284815,4.241,136.0,1.44,177.7,931.0,0.52,17.4,6052.0,4.285,1.202,13.268
K02722.03,CONFIRMED,4.02877097,3.173,100.4,1.21,699.45,1311.0,0.193,18.6,6052.0,4.285,1.202,13.268
K02722.04,CONFIRMED,8.92114318,3.933,110.8,1.27,241.79,1006.0,0.12,15.3,6052.0,4.285,1.202,13.268
K00262.01,CONFIRMED,7.81285862,4.098,117.3,1.68,483.06,1196.0,0.03,32.3,6237.0,4.136,1.543,10.421
K00269.01,CONFIRMED,18.01164974,6.7367,107.8,1.83,155.37,900.0,0.924,60.8,6477.0,4.224,1.459,10.927
K02798.01,CONFIRMED,0.916142298,1.1555,98.5,0.6,507.47,1212.0,0.232,23.0,4374.0,4.639,0.614,14.107
K02799.01,FALSE POSITIVE,0.597933473,1.918,106.0,1.24,10196.42,2564.0,0.562,26.0,6543.0,4.382,1.159,13.364
K02800.01,FALSE POSITIVE,2.69636494,3.892,109.0,1.24,925.14,1406.0,0.628,22.2,5653.0,4.25,1.139,14.515
K02801.01,CONFIRMED,6.99205021,5.037,33.4,1.06,479.87,1194.0,0.944,24.4,6057.0,4.139,1.467,10.787
K02871.01,CONFIRMED,12.0999065,3.558,165.5,1.39,100.37,807.0,0.14,15.1,5553.0,4.33,1.098,14.754
K02871.02,CONFIRMED,5.36375016,2.94,114.3,1.15,296.73,1059.0,0.008,14.4,5553.0,4.33,1.098,14.754
K02872.01,FALSE POSITIVE,3.17319407,2.512,135.8,0.91,318.23,1077.0,0.211,16.2,5369.0,4.508,0.784,14.162
K02873.01,FALSE POSITIVE,5.24368302,10.873,225.4,0.91,43.13,654.0,0.006,36.9,4194.0,4.633,0.629,15.29
K02876.01,CANDIDATE,5.1952021,2.1552,320.8,1.37,115.35,836.0,0.604,17.7,5044.0,4.551,0.738,14.937
K02955.01,FALSE POSITIVE,0.591280187,1.1656,135.0,1.3,7620.01,2385.0,0.395,21.6,6246.0,4.433,1.092,15.046
K02956.01,CONFIRMED,3.93766786,4.655,24.3,1.36,3388.82,1947.0,0.226,16.8,6277.0,3.728,2.741,11.801
K02958.01,CANDIDATE,31.6084371,3.675,331.6,1.89,38.1,634.0,0.022,16.2,6341.0,4.446,1.033,14.756
K02959.01,CANDIDATE,16.1558656,3.798,731.3,2.04,10.1,455.0,0.973,17.5,4504.0,4.713,0.53,15.771
K02960.01,FALSE POSITIVE,1.465943491,1.513,52.3,1.6,8804.6,2472.0,0.211,15.8,6230.0,3.847,2.19,13.147
K00279.01,CONFIRMED,28.45489091,8.1593,1418.6,6.08,82.7,769.0,0.5,244.7,6206.0,4.159,1.573,11.684
K02723.01,CONFIRMED,1.952711161,0.872,403.0,2.58,917.15,1403.0,0.962,30.7,5741.0,4.495,0.946,14.575
K02724.01,FALSE POSITIVE,0.620739667,2.477,108.2,29.28,17924.29,2947.0,1.158,30.8,6559.0,4.133,1.602,12.878
K02725.01,FALSE POSITIVE,0.587470828,2.4382,193.8,51.02,33039.47,3434.0,1.161,48.3,5787.0,3.678,2.667,13.744
K02726.01,FALSE POSITIVE,0.934924739,2.052,73.8,2.29,23533.0,3156.0,0.309,20.3,6477.0,3.781,2.628,12.31
K02727.01,FALSE POSITIVE,25.7054557,6.059,266.3,1.75,47.76,670.0,0.722,27.6,6326.0,4.459,1.001,13.859
K02802.01,CONFIRMED,3.84822189,2.013,203.9,1.72,641.53,1283.0,0.368,17.6,5927.0,4.323,1.193,14.919
K02803.01,CONFIRMED,2.37752442,2.307,32.1,0.53,632.62,1278.0,0.256,15.9,5615.0,4.505,0.936,12.258
K02804.01,FALSE POSITIVE,2.62838097,3.193,89.9,1.01,846.09,1375.0,0.087,15.3,5884.0,4.408,1.07,14.037
K02805.01,CONFIRMED,1.877878538,2.39,47.5,0.78,1977.35,1701.0,0.248,20.6,6324.0,4.352,1.115,13.295
K02807.01,CANDIDATE,3.375716723,1.5436,175.7,2.34,1111.66,1472.0,0.982,20.2,6310.0,4.273,1.282,13.91
K00041.03,CONFIRMED,35.3331932,5.966,99.7,1.55,47.52,670.0,0.656,28.8,5788.0,4.122,1.474,11.197
K00274.01,CONFIRMED,15.0896415,4.3349,77.8,1.42,207.64,968.0,0.02,29.5,6063.0,4.061,1.613,11.39
K02877.01,CONFIRMED,5.30873978,3.018,127.5,1.08,279.21,1042.0,0.173,16.7,5914.0,4.483,0.955,14.699
K02878.01,CONFIRMED,3.89524296,1.689,189.0,1.13,197.66,956.0,0.224,16.2,5018.0,4.492,0.838,14.756
K02880.01,CONFIRMED,0.740926358,1.0163,195.5,1.22,2909.21,1873.0,0.202,20.0,5618.0,4.494,0.874,15.918
K02882.01,CANDIDATE,75.8580035,5.382,1148.4,2.72,1.47,281.0,0.935,16.1,4474.0,4.67,0.614,15.398
K02965.01,FALSE POSITIVE,1.352564873,3.469,56.7,1.45,8505.97,2447.0,0.669,34.9,6463.0,3.959,1.823,12.709
K02966.01,FALSE POSITIVE,7.72768833,2.06,404.8,1.89,154.46,899.0,0.203,14.6,5765.0,4.468,0.94,15.648
K02967.01,CONFIRMED,37.3033197,7.793,551.7,2.31,14.0,493.0,0.908,19.5,5646.0,4.55,0.817,15.527
K02968.01,CANDIDATE,10.16435076,6.017,37.7,1.99,879.94,1389.0,0.915,18.4,6133.0,3.718,2.71,11.912
K02969.01,FALSE POSITIVE,31.9729501,9.41,156.3,2.41,77.49,757.0,0.773,38.3,6007.0,4.064,1.759,12.567
K02729.01,CONFIRMED,14.8877665,4.981,252.5,1.96,112.85,831.0,0.795,28.4,6143.0,4.344,1.116,13.914
K02730.01,CONFIRMED,4.52158614,3.4702,106.2,1.31,513.68,1214.0,0.203,26.2,5576.0,4.201,1.289,13.836
K02731.01,FALSE POSITIVE,2.007750531,2.0715,352.0,1.64,716.79,1319.0,0.42,21.8,5645.0,4.549,0.865,15.664
K02732.01,CONFIRMED,7.03146295,5.922,85.4,1.38,480.26,1194.0,0.014,33.8,6170.0,4.192,1.499,12.805
K02732.03,CONFIRMED,54.2811949,5.517,147.8,2.07,31.45,604.0,0.85,20.0,6170.0,4.192,1.499,12.805
K02808.01,FALSE POSITIVE,0.596087893,0.7159,105.1,1.92,18259.79,2967.0,0.283,30.3,6049.0,3.997,1.827,13.484
K00270.01,CONFIRMED,12.58229808,6.375,118.7,1.53,167.41,917.0,0.044,62.1,5587.0,4.091,1.423,11.411
K02809.01,FALSE POSITIVE,7.12684695,3.179,206.3,1.38,185.17,941.0,0.71,20.7,6050.0,4.525,0.896,14.8
K02810.01,FALSE POSITIVE,0.661749944,4.112,215.6,23.92,8123.02,2420.0,1.169,34.5,6363.0,4.386,1.198,15.396
K02810.02,FALSE POSITIVE,354.95118,13.02,421.9,2.53,1.99,303.0,0.0405,7.0,6392.0,4.366,1.23,15.396
K02811.01,FALSE POSITIVE,1.35477049,1.618,145.3,0.8,348.9,1102.0,0.24,14.8,4414.0,4.621,0.689,15.169
K02882.02,FALSE POSITIVE,0.493393859,1.1319,264.7,1.4,1203.14,1505.0,0.961,20.3,4474.0,4.67,0.614,15.398
K02883.01,CONFIRMED,11.95401876,2.656,855.9,2.1,17.92,525.0,0.744,19.3,4359.0,4.611,0.659,15.911
K02884.01,FALSE POSITIVE,2.48883033,4.268,51.4,0.64,540.34,1230.0,0.696,15.1,5615.0,4.514,0.833,14.103
K02885.01,FALSE POSITIVE,20.2340219,3.674,193.6,0.99,23.53,562.0,0.249,11.5,5528.0,4.627,0.71,13.776
K02886.01,CONFIRMED,0.88184263,1.3117,249.9,1.24,1419.46,1564.0,0.454,21.2,5268.0,4.594,0.776,15.919
K02675.01,CONFIRMED,5.448321078,2.2213,529.4,2.17,215.95,978.0,0.614,55.1,5721.0,4.517,0.905,12.43
K02675.02,CONFIRMED,1.116127169,1.3235,109.2,1.0,1797.63,1659.0,0.648,19.2,5721.0,4.517,0.905,12.43
K02676.01,FALSE POSITIVE,195.613824,23.777,1651.9,10.65,11.24,467.0,0.891,102.7,5970.0,3.835,2.229,13.56
K02677.01,CANDIDATE,237.787237,10.509,1627.7,9.91,3.73,354.0,0.947,92.3,5185.0,3.936,1.853,13.46
K02678.01,CONFIRMED,3.833087643,1.51,461.4,2.25,247.8,1012.0,0.932,40.2,5397.0,4.543,0.831,11.799
K00262.02,CONFIRMED,9.37663713,2.1033,118.4,1.89,379.3,1125.0,0.828,21.0,6237.0,4.136,1.543,10.421
K02733.01,CONFIRMED,5.62006198,2.751,190.1,1.45,84.01,772.0,0.969,17.4,4868.0,4.6,0.746,14.009
K02734.01,CONFIRMED,3.8259005,1.8057,857.2,3.45,241.25,1005.0,0.951,20.3,5223.0,4.505,0.885,15.768
K02735.01,CONFIRMED,0.558841234,0.7918,280.9,1.33,2412.15,1787.0,0.307,26.3,5151.0,4.592,0.792,15.6
K02736.01,CONFIRMED,9.33648141,2.5449,885.4,2.39,26.22,577.0,0.901,23.1,4442.0,4.619,0.648,15.911
K02812.01,CONFIRMED,76.6139446,10.22,498.7,2.61,11.12,466.0,0.851,28.6,6173.0,4.408,1.03,14.357
K02813.01,CANDIDATE,0.698461304,0.7887,134.4,14.81,168689.02,5173.0,0.459,16.1,4676.0,2.577,12.558,13.586
K02815.01,FALSE POSITIVE,1.545388842,3.037,52.8,0.56,964.53,1421.0,0.341,20.6,5782.0,4.594,0.767,13.529
K02816.01,CONFIRMED,1.289590179,1.3541,286.0,1.38,1040.23,1448.0,0.401,18.9,5467.0,4.578,0.808,15.471
K02817.01,CONFIRMED,0.634003002,0.9207,316.9,1.35,2030.16,1714.0,0.367,21.0,5226.0,4.606,0.75,15.76
K02887.01,FALSE POSITIVE,1.56859048,11.591,280.6,23.41,1935.28,1693.0,1.198,43.3,6248.0,4.442,1.002,15.105
K00274.02,CONFIRMED,22.8030252,4.768,62.9,1.29,119.6,843.0,0.291,20.4,6063.0,4.061,1.613,11.39
K02888.01,FALSE POSITIVE,0.623441939,1.4053,128.1,13.89,25489.88,3219.0,1.027,40.6,5385.0,3.639,2.871,12.65
K02889.01,FALSE POSITIVE,5.24364571,16.984,270.4,25.01,411.58,1149.0,1.201,45.6,6197.0,4.406,1.056,15.163
K02890.01,CONFIRMED,8.98826122,4.96,160.8,1.39,131.92,864.0,0.92,14.5,5984.0,4.521,0.906,15.257
K02679.01,CANDIDATE,110.7556272,6.819,8067.0,29.64,42.53,651.0,0.917,48.5,6525.0,3.772,2.668,13.455
K00258.01,FALSE POSITIVE,4.15743922,9.572,1472.0,96.99,4503.26,2089.0,1.242,52.5,6529.0,3.657,3.131,9.887
K02680.01,CANDIDATE,14.4079035,2.524,3058.0,23.4,35.81,624.0,1.226,7.7,5440.0,4.617,0.728,14.599
K02681.01,CONFIRMED,135.4978256,6.769,5038.1,6.01,1.8,295.0,0.804,73.2,5307.0,4.572,0.757,15.996
K02681.02,CONFIRMED,22.2508509,1.745,618.7,2.07,20.01,539.0,0.771,11.4,5307.0,4.572,0.757,15.996
K02682.01,FALSE POSITIVE,8.53161917,2.9596,65744.0,54.6,148.92,891.0,1.118,86.1,5780.0,4.438,1.0,18.498
K02737.01,FALSE POSITIVE,0.526615152,1.0582,64.0,1.46,18152.32,2959.0,0.028,40.9,5718.0,3.966,1.832,12.428
K02738.01,FALSE POSITIVE,0.690405794,1.7407,178.4,1.04,2129.33,1731.0,0.281,43.0,5204.0,4.515,0.786,14.606
K02739.01,CONFIRMED,10.10773789,3.828,294.9,1.98,140.75,879.0,0.151,25.3,5480.0,4.26,1.174,15.017
K02739.02,CANDIDATE,7.0956395,3.465,108.1,1.2,225.73,989.0,0.06,10.5,5480.0,4.26,1.174,15.017
K02740.01,FALSE POSITIVE,1.844857057,1.6557,85.6,0.97,1548.86,1601.0,0.594,21.5,6143.0,4.403,1.004,13.617
K02819.01,FALSE POSITIVE,18.0116764,6.006,417.2,2.02,55.07,695.0,0.683,23.3,6003.0,4.507,0.932,15.154
K00270.02,CONFIRMED,33.67280658,8.2267,170.9,1.86,45.09,661.0,0.309,61.2,5587.0,4.091,1.423,11.411
K02820.01,CONFIRMED,3.00912491,2.228,191.4,1.22,452.27,1177.0,0.009,16.5,5713.0,4.541,0.893,15.273
K02821.01,CANDIDATE,79.2450351,5.382,1347.3,3.33,6.33,404.0,0.001,14.4,5648.0,4.464,0.917,15.302
K02822.01,CONFIRMED,4.44589508,2.3816,441.4,1.94,302.6,1063.0,0.704,20.9,5918.0,4.544,0.865,15.391
K02891.01,FALSE POSITIVE,2.023126394,1.2771,72.2,0.92,1582.75,1607.0,0.391,19.2,6349.0,4.422,1.059,13.126
K02892.01,FALSE POSITIVE,10.63609504,3.48,290.6,1.36,66.5,728.0,0.029,20.9,5546.0,4.575,0.81,15.091
K02894.01,CONFIRMED,10.3108232,5.617,204.0,1.27,90.1,786.0,0.129,14.0,5708.0,4.521,0.893,15.619
K02895.01,FALSE POSITIVE,1.069842837,5.275,540.3,1.77,998.07,1433.0,0.001,65.2,4999.0,4.523,0.786,14.298
K02896.01,FALSE POSITIVE,1.077467951,2.1125,75.7,31.06,7064.38,2339.0,1.181,47.4,6329.0,4.137,1.508,11.899
K02683.01,CANDIDATE,126.4451275,16.7151,3252.5,4.49,2.51,321.0,0.046,110.9,5613.0,4.581,0.795,15.5
K02684.01,FALSE POSITIVE,2.8736467,1.682,215.7,6.47,15977.28,2866.0,0.985,21.2,8173.0,3.744,3.169,10.035
K02685.01,FALSE POSITIVE,2.846517614,4.228,2154.4,1.88,18.32,528.0,0.931,58.0,3468.0,4.931,0.32,16.3
K02686.01,CONFIRMED,211.032819,7.119,1953.4,3.43,0.5,215.0,0.808,69.3,4658.0,4.632,0.686,13.855
K02687.01,CONFIRMED,1.716828304,2.068,59.5,0.74,1056.84,1455.0,0.7,14.2,5808.0,4.522,0.902,10.158
K02741.01,FALSE POSITIVE,0.755103143,2.885,43.8,1.49,17302.11,2927.0,0.662,27.3,5996.0,3.87,2.128,13.009
K00263.01,FALSE POSITIVE,20.71927223,4.0388,224.6,2.51,105.78,818.0,0.744,36.0,5729.0,4.058,1.545,10.821
K02743.01,CONFIRMED,11.87457664,1.9797,220.7,1.32,66.33,728.0,0.432,21.4,5523.0,4.506,0.88,13.756
K02744.01,CONFIRMED,109.6469948,6.568,899.7,4.85,7.95,428.0,0.797,26.7,5332.0,4.083,1.453,15.162
K02745.01,CONFIRMED,15.64588656,3.959,572.1,2.18,60.08,710.0,0.033,26.9,5896.0,4.518,0.916,15.241
K02823.01,FALSE POSITIVE,0.93375241,6.352,518.0,3.18,1528.26,1594.0,0.989,55.5,5402.0,4.581,0.815,15.807
K02824.01,FALSE POSITIVE,1.70336496,1.7045,316.7,1.67,1151.45,1484.0,0.508,19.8,5881.0,4.516,0.915,15.274
K02825.01,FALSE POSITIVE,0.764174368,2.346,100.2,1.18,5972.52,2241.0,0.626,34.5,6321.0,4.417,1.125,14.361
K02826.01,FALSE POSITIVE,1.85373924,1.816,348.6,0.23,3.36,345.0,0.551,18.0,2661.0,5.283,0.116,12.946
K02827.01,CONFIRMED,7.06321927,2.411,207.2,1.21,110.22,827.0,0.56,12.6,5305.0,4.489,0.818,14.572
K02897.01,FALSE POSITIVE,0.584310213,2.1801,809.4,23.09,4190.91,2053.0,1.209,91.9,5783.0,4.539,0.88,15.361
K02898.01,CONFIRMED,25.384175,3.576,594.0,2.44,42.01,649.0,0.245,15.8,6137.0,4.471,0.994,15.535
K00275.01,CONFIRMED,15.79196594,7.2772,203.1,2.4,161.97,910.0,0.032,77.3,5758.0,4.072,1.704,11.696
K02899.01,CANDIDATE,5.77207177,2.605,328.5,1.54,165.58,915.0,0.018,13.2,5591.0,4.559,0.86,15.703
K02900.01,CANDIDATE,46.151253,5.346,649.0,2.08,7.59,423.0,0.688,17.1,5204.0,4.525,0.769,15.266
K02687.02,CONFIRMED,8.16733851,3.337,104.9,1.03,132.43,865.0,0.801,14.8,5808.0,4.522,0.902,10.158
K00041.01,CONFIRMED,12.81590421,6.3856,220.5,2.26,183.68,939.0,0.58,106.7,5788.0,4.122,1.474,11.197
K00259.01,FALSE POSITIVE,79.99623328,6.3339,24383.5,40.73,62.49,717.0,0.594,721.9,6796.0,3.88,2.49,9.954
K02688.01,CONFIRMED,5.424749327,1.139,7680.0,5.15,36.05,625.0,0.016,78.0,4137.0,4.658,0.591,16.406
K02689.01,CANDIDATE,165.3447044,3.09,4899.0,6.98,1.93,301.0,0.917,48.0,5594.0,4.52,0.812,15.548
K02690.01,CONFIRMED,3.606940379,1.0418,432.3,2.04,283.23,1046.0,0.857,20.8,5508.0,4.569,0.84,13.461
K02746.01,FALSE POSITIVE,69.2002312,5.679,2271.5,45.24,27.66,585.0,1.276,30.0,7044.0,4.337,1.267,15.329
K02747.01,CONFIRMED,6.26404774,2.39,378.7,1.55,101.27,809.0,0.232,20.1,5032.0,4.511,0.817,15.329
K02748.01,CONFIRMED,23.1985852,9.821,224.7,2.61,93.34,793.0,0.305,28.2,5416.0,3.951,1.756,14.056
K02748.02,CONFIRMED,5.77721259,2.462,134.3,2.17,596.37,1260.0,0.692,17.7,5416.0,3.951,1.756,14.056
K02749.01,FALSE POSITIVE,0.905037231,1.4351,37.5,1.1,11199.46,2627.0,0.323,29.0,6223.0,4.01,1.763,11.075
K02828.01,CONFIRMED,59.4969009,5.404,1262.1,2.92,4.36,369.0,0.406,23.2,4817.0,4.499,0.833,15.768
K02829.01,CONFIRMED,10.61345333,0.9829,150.2,1.77,224.63,987.0,0.535,20.0,5865.0,4.163,1.388,12.824
K00271.01,CONFIRMED,48.6303805,7.0805,339.8,2.48,28.6,590.0,0.034,53.9,6075.0,4.264,1.352,11.485
K02830.01,CONFIRMED,40.5289885,10.604,360.7,5.92,178.81,933.0,0.325,35.3,6443.0,3.74,3.086,13.913
K02831.01,FALSE POSITIVE,0.571940563,0.9031,54.3,1.88,28727.59,3320.0,0.792,22.8,5827.0,3.74,2.286,12.557
K02901.01,FALSE POSITIVE,0.633514386,1.2792,179.1,0.81,807.27,1357.0,0.231,22.3,4330.0,4.64,0.618,14.971
K02903.01,FALSE POSITIVE,17.4166143,2.445,314.2,1.84,64.73,723.0,0.489,13.1,5946.0,4.444,1.017,14.715
K02904.01,CONFIRMED,16.3583482,9.858,116.4,2.23,200.1,959.0,0.887,30.0,6133.0,4.084,1.765,12.683
K02905.01,FALSE POSITIVE,36.0054414,3.262,117.5,3.33,259.71,1024.0,0.745,14.6,7048.0,3.797,2.838,12.477
K02906.01,CONFIRMED,13.9093544,6.765,86.8,1.33,175.14,928.0,0.132,15.6,6052.0,4.183,1.424,13.716
K02691.01,CANDIDATE,97.4463194,6.765,2141.1,3.05,1.52,283.0,0.063,62.8,4735.0,4.627,0.686,14.981
K02692.01,FALSE POSITIVE,1.257689465,0.8399,945.6,2.45,1244.66,1513.0,0.197,45.6,5676.0,4.571,0.787,15.522
K02693.01,CONFIRMED,4.081411554,2.3239,171.9,1.0,77.0,755.0,0.876,36.9,4498.0,4.661,0.635,13.256
K02693.02,CONFIRMED,11.41941928,3.3075,150.5,0.99,19.47,536.0,0.918,22.9,4498.0,4.661,0.635,13.256
K02693.03,CONFIRMED,6.83440674,2.2726,177.1,1.01,38.68,636.0,0.871,29.1,4498.0,4.661,0.635,13.256
K02750.01,CANDIDATE,174.636181,15.679,2500.9,11.12,12.65,481.0,0.04,37.1,5974.0,3.859,2.232,15.905
K02751.01,CONFIRMED,24.4004378,2.987,860.5,2.47,8.64,437.0,0.909,20.2,4583.0,4.606,0.674,15.858
K00264.01,FALSE POSITIVE,4.029810359,3.3316,111.1,1.77,1132.21,1479.0,0.45,62.8,5929.0,4.055,1.651,11.551
K02752.01,FALSE POSITIVE,1.287622419,0.821,36.5,0.87,3450.59,1957.0,0.819,16.9,6170.0,4.308,1.274,11.514
K02753.01,CONFIRMED,0.935115863,1.6172,64.8,1.05,4811.82,2124.0,0.243,21.6,5874.0,4.252,1.297,13.615
K02832.01,CONFIRMED,3.57551429,2.364,92.8,0.89,299.19,1061.0,0.462,16.6,5213.0,4.434,0.917,13.93
K02833.01,CANDIDATE,1.791877025,1.166,46.1,1.48,5787.99,2223.0,0.403,12.5,6002.0,3.841,2.139,12.599
K02834.01,CONFIRMED,136.205112,5.568,1209.3,2.35,0.89,248.0,0.49,20.0,4648.0,4.631,0.675,15.839
K02835.01,CONFIRMED,6.30922043,1.3251,691.2,1.37,31.73,606.0,0.118,22.5,4380.0,4.71,0.53,15.906
K02836.01,CONFIRMED,2.94194296,2.056,278.0,1.22,225.15,988.0,0.03,18.2,4901.0,4.544,0.758,15.29
K02906.02,CANDIDATE,145.881936,11.342,156.9,1.8,7.63,424.0,0.325,11.2,6052.0,4.183,1.424,13.716
K02907.01,FALSE POSITIVE,1.146934644,1.7247,256.2,1.39,1382.04,1554.0,0.405,19.7,5423.0,4.502,0.862,15.754
K02908.01,FALSE POSITIVE,1.245353252,2.152,224.2,1.48,1996.55,1704.0,0.528,20.3,5982.0,4.493,0.96,15.895
K00275.02,CONFIRMED,82.2001239,10.627,233.9,2.57,17.96,525.0,0.001,47.9,5758.0,4.072,1.704,11.696
K02910.01,CONFIRMED,15.3626052,3.736,468.3,1.8,32.23,608.0,0.25,19.7,5011.0,4.484,0.851,15.384
K02694.01,CONFIRMED,0.843379985,1.4474,343.3,1.7,1329.99,1541.0,0.696,53.6,4818.0,4.481,0.856,14.975
K02694.02,CONFIRMED,6.56606941,1.8455,402.4,1.83,86.27,777.0,0.687,25.8,4818.0,4.481,0.856,14.975
K00260.01,CONFIRMED,10.49566303,4.7356,106.1,1.34,244.59,1009.0,0.16,48.7,6214.0,4.238,1.297,10.5
K02695.01,CANDIDATE,2.50343279,1.534,1156.0,20.23,408.12,1147.0,1.178,13.2,5174.0,4.483,0.84,15.601
K02696.01,CANDIDATE,96.4562198,11.195,950.5,9.1,65.96,727.0,0.775,54.6,7029.0,3.806,2.704,12.998
K02696.02,CANDIDATE,44.5643831,7.874,360.5,5.8,184.67,940.0,0.851,27.0,7029.0,3.806,2.704,12.998
K02754.01,CONFIRMED,1.34155642,1.6462,58.2,0.74,1715.26,1642.0,0.259,23.7,5779.0,4.44,0.97,12.299
K02755.01,CONFIRMED,8.48299282,2.505,69.1,0.8,141.04,879.0,0.564,21.3,5827.0,4.471,0.933,12.147
K02756.01,CONFIRMED,0.665025941,1.7542,104.7,1.11,5246.66,2174.0,0.448,26.5,5884.0,4.408,1.07,14.758
K02757.01,CONFIRMED,234.635652,6.965,868.5,2.56,1.2,267.0,0.025,26.7,5422.0,4.481,0.885,14.607
K02758.01,CANDIDATE,253.374581,22.889,1104.0,19.25,22.41,555.0,0.028,99.9,5177.0,3.216,5.949,11.893
K02837.01,CONFIRMED,13.32191461,6.213,133.5,2.88,672.06,1299.0,0.784,24.3,6995.0,3.925,2.274,13.228
K02838.01,CONFIRMED,7.69994466,4.432,70.9,0.92,208.61,969.0,0.018,17.4,5727.0,4.328,1.104,13.421
K02838.02,CONFIRMED,4.77466043,3.804,54.3,0.81,395.06,1137.0,0.03,15.5,5727.0,4.328,1.104,13.421
K00271.02,CONFIRMED,29.39337161,7.0445,327.0,2.5,55.98,698.0,0.512,69.7,6075.0,4.264,1.352,11.485
K02839.01,CONFIRMED,2.164570593,1.2862,525.1,1.27,88.91,783.0,0.338,19.8,3941.0,4.713,0.554,15.877
K02911.01,FALSE POSITIVE,12.4258343,28.1171,449.4,2.75,111.92,830.0,0.967,72.0,6185.0,4.472,0.991,14.865
